,class,sms
65,spam,"valued customer , pleased advise following recent review mob . awarded £1500 bonus prize , call 09066364589"
66,ham,today `` song dedicated day .. '' song u dedicate ? send ur valuable frnds first rply ...
67,spam,"urgent ur awarded complimentary trip eurodisinc trav , acoandentry41 £1000 . claim txt dis 87121 18+6 * £1.50 ( morefrmmob . shracomorsglsuplt ) 10 , ls1 3aj"
68,spam,hear new emoticonivorce barbie '' ? come ken 's stuff !
69,ham,plane give month end .
70,ham,wah lucky man ... save money ... hee ...
71,ham,finished class .
72,ham,hi babe im home wan na something ? xx
73,ham,k .. kemoticonwhere ? performed ?
74,ham,u call ...
75,ham,waiting machan . call free .
76,ham,thats cool . gentleman treat dignity respect .
77,ham,like people muchemoticon shy pa .
78,ham,doe operate number
79,ham,. still looking job . much ta 's earn .
80,ham,"sorry , 'll call later"
81,ham,K. call ah ?
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup next stop .
85,ham,"call later , n't network . urgnt , sm ."
86,ham,real u getting yo ? need 2 ticket one jacket 'm done . already used multis .
87,ham,yes started send request make pain came back 'm back bed . double coin factory . got ta cash nitros .
88,ham,'m really still tonight babe
89,ham,"ela kano. , il download , come wen ur free .."
90,ham,yeah ! n't stand close tho- 'll catch something !
91,ham,sorry pain . ok meet another night ? spent late afternoon casualty mean n't done stuff42moro includes time sheet . sorry .
92,ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling ! !
93,spam,please call customer service representative 0800 169 6031 10am-9pm guaranteed £1000 cash £5000 prize !
94,ham,havent planning buy later . check already lido got 530 show e afternoon . u finish work already ?
95,spam,"free ringtone waiting collected . simply text password `` mix '' 85069 verify . get usher britney . fml , po box 5249 , mk17 92h . 450ppw 16"
96,ham,watching telugu movie .. wat abt u ?
97,ham,see . finish load loan pay
98,ham,hi . wk ok - hols ! yes bit run . forgot hairdresser appointment four need get home n shower beforehand . doe cause prob u ? ''
99,ham,see cup coffee animation
100,ham,please n't text anymore . nothing else say .
101,ham,okay name ur price long legal ! wen pick ? u ave x xx
102,ham,'m still looking car buy . gone 4the driving test yet .
104,ham,"wow . 're right ! n't mean . guess gave boston men changed search location nyc , something changed . cuz signin page still say boston ."
105,ham,umma life vava umma love lot dear
106,ham,thanks lot wish birthday . thanks making birthday truly memorable .
107,ham,"aight , 'll hit get cash"
108,ham,would ip address test considering computer n't minecraft server
109,ham,know ! grumpy old people . mom wa like better lying . always one play joke ...
110,ham,dont worry . guess 's busy .
111,ham,plural noun research ?
112,ham,going url .
113,ham,'m ok wif co like 2 try new thing . scared u dun like mah . co u said loud .
114,spam,gent ! trying contact . last weekend draw show £1000 prize guaranteed . call 09064012160 . claim code k52 . valid 12hrs . 150ppm
115,ham,"wa , ur openin sentence formal ... anyway , 'm fine , juz tt 'm eatin much n puttin weight ... haha ... anythin special happened ?"
116,ham,"entered cabin pa said , `` happy B'day bos ! ! '' . felt special . askd 4 lunch . lunch invited apartment . went ."
117,spam,winner u specially selected 2 receive £1000 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810910p/min ( 18emoticon
118,ham,goodo ! yes must speak friday - egg-potato ratio tortilla needed !
119,ham,hmm ... uncle informed 's paying school directly . pls buy food .
120,spam,private ! 2004 account statement 07742676969 show 786 unredeemed bonus point . claim call 08719180248 identifier code : 45239 expires
121,spam,"urgent ! mobile . wa awarded £2000 bonus caller prize 5/9/03 final try contact u ! call landline 09064019788 box42wr29c , 150ppm"
122,ham,new address -applesandpairsandall malarky
123,spam,today voda number ending 7548 selected receive $ 350 award . match please call 08712300220 quoting claim code 4041 standard rate app
124,ham,going sao mu today . done 12
125,ham,u predict wat time u 'll finish buying ?
126,ham,"good stuff , ."
127,ham,"know , yetunde ha n't sent money yet . sent text bother sending . , dont involve anything . n't imposed anything first place , apologise ."
128,ham,room .
129,ham,hey girl . r u ? hope u r well del r bak ! long time c ! give call sum time lucyxx
130,ham,k .. kemoticonhow much doe cost ?
131,ham,'m home .
132,ham,"dear , call url accomodate ."
133,ham,first answer question .
134,spam,sunshine quiz wkly q ! win top sony dvd player u know country algarve ? txt ansr 82277 . £1.50 sp : tyrone
135,spam,want 2 get laid tonight ? want real dogging location sent direct 2 ur mob ? join uk 's largest dogging network bt txting gravel 69888 ! nt . ec2a . 31p.msg @ 150p
136,ham,haf msn . 's email
137,ham,. call meet
138,ham,. check room befor activity
139,spam,'ll rcv msg chat svc . free hardcore service text go : 69988 u get nothing u must age verify yr network try
140,ham,got c ... lazy type ... forgot u lect ... saw pouch like v nice ...
141,ham,"k , text 're way"
142,ham,"sir , waiting mail ."
143,ham,swt thought : `` nver get tired little thing 4 lovable person .. '' coz .. somtimes little thing occupy biggest part heart .. gud ni8
144,ham,know . pls open back ?
145,ham,yes see ya dot
146,ham,whats staff name taking class u ?
147,spam,"freemsg n't replied text ? 'm randy , sexy , female live local . luv hear u. netcollex ltd 08700621170150p per msg reply stop end"
148,ham,url call check url life begin qatar pls pray hard .
149,ham,k .. deleted contact ?
150,ham,sindu got job birla soft ..
151,ham,wine flowing 'm nevering ..
152,ham,yup thk cine better co need 2 go 2 plaza mah .
153,ham,ok ... ur typical reply ...
155,ham,"everywhere dirt , floor , window , even shirt . sometimes open mouth , come flowing . dream world without , half chore . time joy , lot tv show i.ll see . guess like thing must exist , like rain , hail mist , time done , become one ."
156,ham,aaooooright work ?
157,ham,'m leaving house ...
158,ham,"hello , love . ? get interview today ? happy ? good boy ? think ? missing ?"
159,spam,customer service annoncement . new year delivery waiting . please call 07046744435 arrange delivery
160,spam,winner u specially selected 2 receive £1000 cash 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810810
161,ham,keep safe need miss already envy everyone see 's real life
162,ham,new car house url new job handemoticon
163,ham,'m love . 'm excited day spend . make happy .
164,spam,-PLS stop bootydelious ( 32/F ) inviting friend . reply YES-434 NO-434 see : URL/u/bootydelious stop ? send stop frnd 62468
165,spam,"bangbabes ur order way . u receive service msg 2 download ur content . u , goto wap . bangb . tv ur mobile internet/service menu"
166,ham,place ur point e culture module already .
167,spam,urgent ! trying contact . last weekend draw show £900 prize guaranteed . call 09061701939 . claim code s89 . valid 12hrs
168,ham,"hi frnd , best way avoid missunderstding wit beloved one 's ?"
169,ham,great escape . fancy bridge need lager . see tomo
170,ham,yes emoticonit completely formemoticonclark also utter waste .
171,ham,"sir , need axis bank account bank address ."
172,ham,"hmmm .. thk sure got time hop ard ... ya , go 4 free abt ... muz call u discus liao ..."
173,ham,time coming later ?
174,ham,"bloody hell , cant believe forgot surname mr . ill give u clue , spanish begin ..."
175,ham,"well , 'm gon na finish bath . good ... fine night ."
176,ham,let know 've got money carlos make call
177,ham,u still going mall ?
178,ham,"turn friend staying whole show wo n't back til ~ number , feel free go ahead smoke $ number worth"
179,ham,text . doesnt reply let know log
180,ham,hi ! spoke maneesha V. 'd like know satisfied experience . reply toll free yes .
181,ham,lifted hope offer money . need . especially end month approach hurt studying . anyways gr8 weekend
182,ham,lol . u trust .
183,ham,ok . gentleman treat dignity respect .
184,ham,", guy close ?"
185,ham,going nothing url
186,ham,hello handsome ! finding job ? lazy ? working towards getting back net mummy ? 's boytoy ? doe miss ?
187,ham,"haha awesome , minute"
188,spam,please call customer service representative freephone 0808 145 4742 9am-11pm guaranteed £1000 cash £5000 prize !
189,ham,got xmas radio time . get
190,ham,jus reached home . go bathe first . si using net tell u finish k ...
191,spam,unique enough ? find 30th august . URL.uk
192,ham,'m sorry . 've joined league people dont keep touch . mean great deal . friend time even great personal cost . great week.|
193,ham,hi emoticonfinally completed courseemoticon
194,ham,stop . however suggest stay someone able give every stool .
195,ham,? hope 've settled new school year . wishin gr8 day
196,ham,gud mrng dear hav nice day
197,ham,u got person story
198,ham,hamster dead ? hey tmr meet 1pm orchard mrt ?
199,ham,hi kate evening ? hope see tomorrow bit bloody babyjontet ! txt back u . emoticon xxx
200,ham,"found , enc number , ?"
201,ham,sent number buck
202,ham,hello darlin ive finished college txt u finish u love kate xxx
203,ham,account ha refilled successfully inr decimal . keralacircle prepaid account balance r decimal . transaction id kr number .
204,ham,goodmorning sleeping ga .
205,ham,u call alter 11 ok .
206,ham,u say like dat dun buy ericsson oso oredi lar ...
208,ham,"aight yo , dat straight dogg"
209,ham,please give u connection today decimal refund bill
210,ham,emoticon shoot big load get ready !
211,ham,"'s bruv , hope great break . rewarding semester ."
212,ham,home always chat
213,ham,kemoticonkemoticongoodemoticonstudy well .
214,ham,yup ... u noe leh ...
215,ham,sound great ! home ?
216,ham,finally match heading towards draw prediction .
217,ham,tired . n't slept well past night .
218,ham,easy ah ? sen got selected mean good ..
219,ham,take exam march 3
220,ham,yeah . think use gt atm register . sure 's anyway help let know . sure ready .
221,ham,ok prob . take ur time .
222,ham,called ubandu run without installing hard disk ... use copy important file system give repair shop ..
224,ham,u say leh ... course nothing happen lar . say v romantic jus bit lor . thk e nite scenery nice leh .
225,spam,"500 new mobile 2004 , must go ! txt : nokia : 89545 collect today ! £1 www.4-URL 2optout 087187262701.50gbp/mtmsg18"
226,ham,would really appreciate call . need someone talk .
227,spam,"u meet ur dream partner soon ? ur career 2 flyng start ? 2 find free , txt horo followed ur star sign , e. g. horo aries"
228,ham,hey company elama po mudyadhu .
229,ham,"life strict teacher ... bcoz teacher teach lesson conduct exam , life first conduct exam teach lesson . happy morning . . ."
230,ham,dear good morning
231,ham,get gandhipuram walk cross cut road . right side number street road turn first right .
232,ham,dear going rubber place
233,ham,"sorry battery died , yeah 'm"
234,ham,yesemoticonhere tv always available work place ..
235,spam,text meet someone sexy today . u find date even flirt u . join 4 10p . reply name age eg sam 25 . 18 -msg recd @ thirtyeight penny
236,ham,printed oh . number come upstairs
237,ham,ill little closer like bus stop street
238,ham,? wil reach ?
239,ham,"new theory : argument win situation , loses person . dont argue ur friend .. . . . kick say , 'm always correct . !"
240,spam,u 447801259231 secret admirer looking 2 make contact U-find r * reveal think ur special-call 09058094597
241,ham,tomarrow final hearing laptop case cant .
242,ham,pleassssssseeeeee tel v avent done sportsx
243,ham,"okay . , shining . wa meant signing , sound better ."
244,ham,"although told u dat 'm baig face watch really like e watch u gave co 's fr u. thanx 4 everything dat u 've done today , 'm touched ..."
245,ham,u n't remember old commercial ?
246,ham,late . said website . n't dont slipper
247,ham,asked call ok
248,ham,kallis wont bat 2nd inning .
249,ham,didnt work oh . ok goodnight . I.ll fix ready time wake . dearly missed good night sleep .
250,spam,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs url1win150ppmx3age16
251,ham,ranjith cal drpd deeraj deepak 5min hold
252,ham,"wen ur lovable bcums angry wid u , dnt take seriously .. coz angry childish n true way showing deep affection , care n luv ! .. kettoda manda ... nice day da ."
253,ham,? ?
254,ham,"ups 3days also , shipping company take 2wks . way usps take week get lag may bribe nipost get stuff ."
255,ham,"'m back , lem know 're ready"
256,ham,n't necessarily expect done get back though 'm headin
257,ham,mmm yummy babe ... nice jolt suzy
258,ham,lover ? need ...
259,spam,tried contact reply offer video handset ? 750 anytime network min ? unlimited text ? camcorder ? reply call 08000930705
260,ham,'m parked next mini ! ! ! ! coming today think ?
261,ham,yup
262,ham,anyway 'm going shopping . co si done yet . dun disturb u liao .
263,ham,. luton 0125698789 ring ur around ! h *
264,spam,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698
265,ham,dint come u .
266,ham,. wana plan trip sometme
267,ham,"sure yet , still trying get hold"
268,spam,ur ringtone service ha changed ! 25 free credit ! go club4url choose content ! stop ? txt club stop 87070 . 150p/wk club4 po box1146 mk45 2wt
269,ham,evo . download flash . jealous ?
270,spam,ringtone club : get uk single chart mobile week choose top quality ringtone ! message free charge .
271,ham,"come mu , 're sorting narcotic situation"
272,ham,"night ha ended another day , morning ha come special way . may smile like sunny ray leaf worry blue blue bay ."
273,spam,hmv bonus special 500 pound genuine hmv voucher . answer 4 easy question . play ! send hmv 86688 info : www.100percent-URL
274,ham,"usf guess , might well take 1 car"
275,ham,objection . bf coming .
276,ham,thanx ...
277,ham,tell rob mack gf theater
278,ham,"awesome , 'll see bit"
279,ham,sent . type food like ?
280,ham,done ? handed ? celebration full swing yet ?
281,ham,got called tool ?
282,ham,"`` wen u miss someone , person definitely special u ..... person special , miss , Keep-in-touch '' gdeve .."
283,ham,ok . asked money far
284,ham,okie ...
285,ham,"yeah think usual guy 's still passed last night , get ahold anybody let know 'll throw"
286,ham,"k , might come tonight class let early"
287,ham,ok ..
288,ham,hi baby im cruisin girl friend r u 2 ? give call hour home thats alright fone fone love jenny xxx
289,ham,"life mean lot , love life , love people life , world call friend , call worldemoticon .. geemoticon .."
290,ham,"dear , shall mail url street , shall update url looking url edukkukayee raksha url good one real sense ."
291,ham,hey told name gautham ah ?
292,ham,haf u found ? feel stupid da v cam wa working .
293,ham,oops . 4 got bit .
294,ham,much buzy
295,ham,accidentally deleted message . resend please .
296,spam,T-Mobile customer may claim free camera phone upgrade pay go sim card loyalty . call 0845 021 3680.Offer end 28url 's apply
297,ham,unless 's situation go gurl would appropriate
298,ham,hurt ... tease ... make cry ... end life die plz keep one rose grave say stupid miss u .. nice day bslvyl
299,ham,cant pick phone right . pls send message
300,ham,need coffee run tomo ? ca n't believe 's time week already
301,ham,"awesome , remember last time got somebody high first time diesel : v"
302,ham,"shit really shocking scary , cant imagine second . def night . u think somewhere could crash night , save taxi ?"
303,ham,oh way food fridge ! want go meal tonight ?
304,ham,womdarfull actor
305,spam,"sm . ac blind date 4u ! : rodds1 21/m aberdeen , united kingdom . check http : //img . sm . ac/W/icmb3cktz8r7 ! -4 blind date send hide"
306,ham,yup ... remb ... think book ...
307,ham,jos ask u wana meet ?
308,ham,lol yes . friendship hanging thread cause u wo n't buy stuff .
309,spam,"themob > check newest selection content , game , tone , gossip , babe sport , keep mobile fit funky text wap 82468"
310,ham,garage key ? n't bookshelf
311,ham,today accept day .. u accept ? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
312,spam,"think ur smart ? win £200 week weekly quiz , text play 85222 ! tandcs winnersclub po box 84 , m26 3uz . 16+ . GBP1.50/week"
313,ham,say 'll give call friend 's got money 's definitely buying end week
314,ham,"hi way wa u 2day , normal wayandthis real . ur uniqueandi hope know u 4 rest mylife . hope u find wot wa lost ."
315,ham,made day . great day .
316,ham,K.kEMOTICONadvance happy pongal .
317,ham,"hmmm ... guess go 4 kb n power yoga ... haha , dunno tahan power yoga anot ... thk got lo oso , forgot liao ..."
318,ham,"really dude , friend 'm afraid emoticon"
319,spam,december ! mobile 11mths+ ? entitled update latest colour camera mobile free ! call mobile update co free 08002986906
320,ham,"coffee cake , guess ..."
321,ham,"merry christmas babe , love ya * kiss *"
322,ham,hey ... dont go watch x men lunch ... haha
323,ham,cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 . pete x
324,ham,would great . 'll guild . could meet bristol road somewhere - get touch weekend . plan take flight ! good week
325,ham,problem . ?
327,ham,hi daemoticonhow today class ?
328,ham,"'d say 's good sign , well , know track record reading woman"
329,ham,"cool , text 're parked"
330,ham,'m reading text sent . meant joke . read light
331,ham,K.kEMOTICONapo k.good movie .
332,ham,maybe could get book tomo return immediately .. ? something .
333,spam,call germany 1 penny per minute ! call fixed line via access number 0844 861 85 85 . prepayment . direct access !
334,ham,chance might evaporated soon violated privacy stealing phone number employer 's paperwork . cool . please contact report supervisor .
335,spam,valentine day special ! win £1000 quiz take partner trip lifetime ! send go 83600 . 150p/msg rcvd . CustCare:08718720201 .
336,ham,"taemoticonaaaaa ! home babe , still ?"
337,ham,cool . come havent wined dined ?
338,ham,sleeping .. surfing
340,ham,u calling right ? call hand phone ...
341,ham,ok 's great thanx lot .
342,ham,take post ha come ! must 1000 text ! happy reading . one wiv hello caroline end favourite . bless
343,ham,u hiding stranger ?
344,ham,interested like .
345,ham,sister cleared two round birla soft yesterday .
346,ham,gudnite .... tc ... practice going
347,ham,dis yijue . jus saw ur mail . case huiming havent sent u num . dis num .
348,ham,one small prestige problem .
349,spam,fancy shag ? url ? url txt xxuk suzy 69876 . txts cost 1.50 per msg . tncs website . x
350,ham,checking . really miss seeing jeremiah . great month
351,ham,"nah ca n't help , 've never iphone"
352,ham,'re car hour half 'm going apeshit
353,ham,"today sorry day. ! ever wa angry , ever misbehaved hurt ? plz plz slap urself bcoz , ur fault , 'm basically good"
354,ham,yo guy ever figure much need alcohol ? jay trying figure much safely spend weed
355,ham,number ish minute wa 5 minute ago . wtf .
356,ham,"thank url say happy onam Sirji.I fine remembered met insurance url qatar insha url , ex tata aig joined tissco , tayseer ."
358,spam,ur cash-balance currently 500 pound - maximize ur cash-in send cash 86688 150p/msg . cc : 08708800282 HG/Suite342/2Lands Row/W1J6HL
359,ham,"'m actor . work , work evening sleep late . since 'm unemployed moment , always sleep late . 're unemployed , every day saturday ."
360,ham,"hello ! got , st andrews-boy long way ! cold . keep posted"
361,ham,ha ha cool cool chikku chikkuemoticonemoticonbemoticon
362,ham,oh ok prob ..
363,ham,check audrey 's status right
364,ham,busy . trying finish new year . looking forward finally meeting ...
365,ham,"good afternoon sunshine ! dawn day ? refreshed happy alive ? breathe air smile ? think , love ... always"
366,ham,well know z take care . worry .
367,spam,"Update_Now - xmas offer ! latest motorola , sonyericsson nokia free bluetooth ! double min 1000 txt orange . call mobileupd8 08000839402 call2optout/F4Q="
368,spam,discount code rp176781 . stop message reply stop . URL.uk . customer service 08717205546
369,ham,wat uniform ? get ?
370,ham,"cool , text 're ready"
371,ham,"hello boytoy ... geeee miss already woke . wish bed , cuddling . love ..."
372,ham,spoil bed well emoticon
373,ham,'m going bath msg next number min ..
374,ham,cant keep talking people sure pay agree price . pls tell want really buy much willing pay
375,spam,"thanks ringtone order , reference t91 . charged gbp 4 per week . unsubscribe anytime calling customer service 09057039994"
376,ham,say happen
377,ham,could seen .. did't recognise url
378,ham,well 's lot thing happening lindsay new year * sigh * bar ptbo blue heron ha something going
379,ham,keep payasam rinu brings
380,ham,taught ranjith sir called . sm like . becaus verifying project . prabu told today pa dont mistake ..
381,ham,"guess 's worried . must know 's way body repair . 'm quite sure n't worry . 'll take slow . first test , guide ovulation relax . nothing 've said reason worry i.ll keep followin ."
382,ham,"yeah sure , give couple minute track wallet"
383,ham,hey leave . big dealemoticon take care .
384,ham,hey late ah ... meet 945+
385,spam,"double min txts 4 6months free bluetooth orange . available sony , nokia motorola phone . call mobileupd8 08000839402 call2optout/N9DX"
386,ham,took mr owl 3 lick
387,ham,customer place call .
388,ham,mm time dont like fun
389,spam,4mths half price orange line rental latest camera phone 4 free . phone 11mths ? call mobilesdirect free 08000938767 update ! or2stoptxt
390,ham,yup lunch buffet .. u eat already ?
391,ham,huh late ... fr dinner ?
392,ham,hey sat going intro pilate ? kickboxing ?
393,ham,morning ok .
394,ham,yes think . office lap room think thats last day . didnt shut
395,ham,pick bout 7.30ish ? time going ?
396,ham,performance award calculated every two url current one month period ..
397,ham,wa actually sleeping still might u call back . text gr8 . rock si . send u text wen wake .
398,ham,"always putting business . put picture facebook . one open people 've ever met . would think picture room would hurt , make feel violated ."
399,ham,"good evening sir , al salam url happy url grace god , got offer tayseer , tissco url url allah , meet url , visitor india ."
400,ham,hmmm ... k ... want change field quickly daemoticoni wan na get system administrator network administrator ..
401,spam,"free ringtone text first 87131 poly text get 87131 true tone ! help ? 0845 2814032 16 1st free , tone 3x£150pw e£nd txt stop"
402,ham,dear chechi . talk
403,ham,hair cream ha shipped .
404,ham,none 's happening til get though
405,ham,"yep , great loxahatchee xmas tree burning number start hour"
406,ham,"haha get used driving usf man , know lot stoner"
407,ham,wa well slightly disastrous class pm fav darling ! hope day ok. coffee wld good ca n't stay late tomorrow . time + place always ?
408,ham,hello ! good week ? fancy drink something later ?
409,ham,headin towards busetop
410,ham,message : text missing * sender : name missing * * number missing * sentemoticonate missing * missing u lot thats everything missing sent via url
411,ham,come room point iron plan weekend
412,ham,co want thing
413,ham,"okies ... 'll go yan jiu ... skip ard oso , go cine den go mrt one , blah blah blah ..."
414,ham,bring home wendy emoticon
415,spam,100 dating service cal ; l 09064012103 box334sk38ch
416,ham,whatsup . dont u want sleep
417,ham,alright new goal
418,spam,free entry £250 weekly competition text word win 80086 . 18 tandc URL.uk
419,ham,"alright , 'll head minute , text meet"
420,spam,send logo 2 ur lover - 2 name joined heart . txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo ! pobox36504w45wq txtno 4 ad 150p
421,ham,yesemoticonfrom last week 'm taking live call .
422,spam,someone ha contacted dating service entered phone fancy ! find call landline 09111032124 . pobox12n146tf150p
423,ham,siva hostel aha : - .
424,spam,urgent ! mobile number ha awarded £2000 prize guaranteed . call 09058094455 land line . claim 3030 . valid 12hrs
425,ham,send ur friend receive something ur voice ..... speaking expression ? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful attitude 6.romantic 7.shy 8.Attractive 9.funny number .irritating number .lovable . reply ..
426,ham,Ok. 'll ok . guess
427,ham,aathi .. dear ..
428,ham,pain urination thing else ?
429,ham,7 esplanade .. u mind giving lift co got car today ..
430,ham,wnt buy bmw car urgently .. vry url hv shortage number url source arng dis amt . number lac .. thats prob
431,ham,home watching tv lor .
432,ham,doe usually take fifteen fucking minute respond yes question
433,spam,congrats ! nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3mins vary mobile 16+ close 300603 post bcm4284 ldn wc1n3xx
434,ham,booked ticket pongal ?
435,ham,available ? 'm like right around hillsborough number th
436,ham,message sent askin number dollar . shoul pay number number ?
437,ham,"ask g iouri , 've told story like ten time already"
438,ham,long doe applebees fucking take
439,ham,"hi hope u get txt~journey hasnt gd , 50 min late think ."
440,ham,. like love arrange .
441,ham,yes .. really great .. bhaji told kallis best cricketer sachin url tough get .
442,ham,supposed wake emoticon
443,ham,oic ... saw tot din c ... found group liao ...
445,ham,"`` hey hey werethe monkeespeople say monkeyaround ! howdy gorgeous , howu doin ? foundurself jobyet sausage ? love jen xxx ''"
446,ham,"sorry , battery died , come 'm getting gram , 's place ?"
447,ham,"well done , blimey , exercise , yeah , kinda remember wot , hmm ."
448,ham,wont get concentration dear know mind everything emoticon
449,ham,lol ... made plan new year ?
450,ham,10 min later k ...
451,ham,hank lotsly !
452,ham,thanks hope good day today
453,ham,kemoticonkemoticonwhat detail want transfer ? acc enough ?
454,ham,ok tell stay . yeah tough optimistic thing improve month .
455,spam,"loan purpose £500 - £75,000 . homeowner + tenant welcome . previously refused ? still help . call free 0800 1956669 text back 'help '"
456,ham,si si . think ill go make oreo truffle .
457,ham,"look amy ure beautiful , intelligent woman like u lot . know u dont like like dont worry ."
458,ham,hope 's result consistently intelligent kind . start asking practicum link keep ear open best . ttyl
459,ham,"1.20 call cost . guess isnt bad . miss ya , need ya , want ya , love ya"
460,ham,going thru different url decision coping url heal everything believe .
461,ham,u go ? phone gon na die stay
462,ham,great . never better . day give even reason thank god
463,spam,"upgrdcentre orange customer , may claim free camera phone upgrade loyalty . call 0207 153 9153 . offer end 26th july . tandc 's apply . Opt-out available"
464,ham,"sorry , 'll call later ok bye"
465,ham,ok way railway
466,ham,great princess ! love giving receiving oral . doggy style fave position . ? enjoy making love number time per night emoticon
467,ham,n't put stuff road keep getting slippery ?
